question,column,row_in_column,option,x_472,y_472,x_480,y_480,dx_480_minus_472,dy_480_minus_472,distance_px,answer_472,status_472,answer_480,status_480,decision_changed
1,1,1,A,226.0,827.0,219.0,825.0,-7.0,-2.0,7.280109889280518,A,answered,A,answered,False
1,1,1,B,262.0,826.0,257.0,824.0,-5.0,-2.0,5.385164807134504,A,answered,A,answered,False
1,1,1,C,296.0,826.0,290.0,824.0,-6.0,-2.0,6.324555320336759,A,answered,A,answered,False
1,1,1,D,332.0,826.0,326.0,824.0,-6.0,-2.0,6.324555320336759,A,answered,A,answered,False
2,1,2,A,227.0,855.0,222.0,854.0,-5.0,-1.0,5.0990195135927845,A,answered,A,answered,False
2,1,2,B,262.0,856.0,257.0,854.0,-5.0,-2.0,5.385164807134504,A,answered,A,answered,False
2,1,2,C,297.0,856.0,291.0,854.0,-6.0,-2.0,6.324555320336759,A,answered,A,answered,False
2,1,2,D,332.0,856.0,326.0,854.0,-6.0,-2.0,6.324555320336759,A,answered,A,answered,False
3,1,3,A,227.0,883.0,224.0,882.0,-3.0,-1.0,3.1622776601683795,A,answered,A,answered,False
3,1,3,B,264.0,883.0,257.0,882.0,-7.0,-1.0,7.0710678118654755,A,answered,A,answered,False
3,1,3,C,297.0,882.0,291.0,882.0,-6.0,0.0,6.0,A,answered,A,answered,False
3,1,3,D,333.0,882.0,326.0,882.0,-7.0,0.0,7.0,A,answered,A,answered,False
4,1,4,A,228.0,912.0,222.0,911.0,-6.0,-1.0,6.082762530298219,B,answered,B,answered,False
4,1,4,B,264.0,912.0,258.0,912.0,-6.0,0.0,6.0,B,answered,B,answered,False
4,1,4,C,298.0,911.0,291.0,912.0,-7.0,1.0,7.0710678118654755,B,answered,B,answered,False
4,1,4,D,334.0,912.0,326.0,912.0,-8.0,0.0,8.0,B,answered,B,answered,False
5,1,5,A,228.0,943.0,224.0,940.0,-4.0,-3.0,5.0,A,answered,A,answered,False
5,1,5,B,266.0,942.0,258.0,940.0,-8.0,-2.0,8.246211251235321,A,answered,A,answered,False
5,1,5,C,298.0,942.0,292.0,941.0,-6.0,-1.0,6.082762530298219,A,answered,A,answered,False
5,1,5,D,334.0,942.0,327.0,941.0,-7.0,-1.0,7.0710678118654755,A,answered,A,answered,False
6,1,6,A,229.0,968.0,224.0,969.0,-5.0,1.0,5.0990195135927845,A,answered,A,answered,False
6,1,6,B,265.0,968.0,258.0,968.0,-7.0,0.0,7.0,A,answered,A,answered,False
6,1,6,C,299.0,968.0,292.0,968.0,-7.0,0.0,7.0,A,answered,A,answered,False
6,1,6,D,334.0,968.0,328.0,968.0,-6.0,0.0,6.0,A,answered,A,answered,False
7,1,7,A,230.0,998.0,223.0,998.0,-7.0,0.0,7.0,A,answered,A,answered,False
7,1,7,B,266.0,997.0,258.0,998.0,-8.0,1.0,8.06225774829855,A,answered,A,answered,False
7,1,7,C,300.0,996.0,292.0,998.0,-8.0,2.0,8.246211251235321,A,answered,A,answered,False
7,1,7,D,334.0,997.0,328.0,998.0,-6.0,1.0,6.082762530298219,A,answered,A,answered,False
8,1,8,A,229.0,1026.0,223.0,1028.0,-6.0,2.0,6.324555320336759,C,answered,C,answered,False
8,1,8,B,266.0,1026.0,258.0,1028.0,-8.0,2.0,8.246211251235321,C,answered,C,answered,False
8,1,8,C,300.0,1026.0,294.0,1028.0,-6.0,2.0,6.324555320336759,C,answered,C,answered,False
8,1,8,D,336.0,1026.0,328.0,1027.0,-8.0,1.0,8.06225774829855,C,answered,C,answered,False
9,1,9,A,230.0,1054.0,224.0,1056.0,-6.0,2.0,6.324555320336759,A,answered,A,answered,False
9,1,9,B,266.0,1054.0,259.0,1055.0,-7.0,1.0,7.0710678118654755,A,answered,A,answered,False
9,1,9,C,300.0,1052.0,293.0,1055.0,-7.0,3.0,7.615773105863909,A,answered,A,answered,False
9,1,9,D,336.0,1052.0,328.0,1055.0,-8.0,3.0,8.54400374531753,A,answered,A,answered,False
10,1,10,A,231.0,1083.0,224.0,1084.0,-7.0,1.0,7.0710678118654755,B,answered,B,answered,False
10,1,10,B,267.0,1082.0,260.0,1085.0,-7.0,3.0,7.615773105863909,B,answered,B,answered,False
