question,column,row_in_column,answer_472,status_472,answer_480,status_480,mean_center_shift_px,max_center_shift_px,mean_dx,mean_dy
17,1,17,,blank,,ambiguous,10.983,12.53,-9.0,6.25
27,1,27,,blank,,ambiguous,15.435,16.971,-10.25,11.5
33,1,33,C,answered,A,answered,12.264,13.601,-11.75,-3.5
34,1,34,A,answered,MULTIPLE,multiple,16.091,16.971,-11.5,-11.25
35,1,35,B,answered,A,answered,17.338,18.439,-12.0,-12.5
36,1,36,A,answered,B,answered,16.617,16.971,-11.75,-11.75
42,1,42,B,answered,A,answered,13.052,15.811,-11.5,-6.0
43,1,43,A,answered,B,answered,11.668,12.53,-10.0,-6.0
59,2,14,A,answered,B,answered,12.447,13.038,-6.25,-10.75
65,2,20,B,answered,A,answered,15.148,15.264,-6.25,-13.75
66,2,21,C,answered,B,answered,15.332,16.125,-6.75,-13.75
67,2,22,A,answered,C,answered,13.869,14.765,-6.5,-12.25
75,2,30,B,answered,A,answered,11.818,12.207,-7.0,-9.5
76,2,31,C,answered,B,answered,11.018,12.042,-7.25,-8.25
77,2,32,A,answered,C,answered,10.519,12.042,-7.75,-7.0
83,2,38,MULTIPLE,multiple,A,answered,8.821,9.849,-8.25,-3.0
84,2,39,A,answered,MULTIPLE,multiple,8.977,10.44,-8.75,-1.75
90,2,45,,blank,A,answered,10.011,11.402,-9.25,3.75
106,3,16,D,answered,A,answered,9.312,9.487,-2.25,-9.0
107,3,17,B,answered,D,answered,9.771,10.44,-2.25,-9.5
108,3,18,A,answered,B,answered,10.222,10.44,-2.0,-10.0
115,3,25,MULTIPLE,multiple,A,answered,7.221,7.616,-2.5,-6.75
116,3,26,A,answered,MULTIPLE,multiple,7.192,7.616,-3.0,-6.5
117,3,27,B,answered,A,answered,7.535,8.544,-3.25,-6.75
118,3,28,A,answered,B,answered,6.763,9.434,-3.5,-5.75
119,3,29,B,answered,A,answered,6.117,6.403,-3.5,-5.0
120,3,30,A,answered,B,answered,5.328,5.657,-3.5,-4.0
122,3,32,B,answered,A,answered,4.679,5.0,-3.75,-2.75
123,3,33,A,answered,B,answered,4.9,5.657,-4.0,-2.75
131,3,41,MULTIPLE,multiple,A,answered,5.93,6.403,-3.75,4.5
132,3,42,A,answered,MULTIPLE,multiple,6.249,7.071,-3.25,5.25
133,3,43,,ambiguous,A,answered,9.308,10.296,-3.75,8.5
134,3,44,,blank,,ambiguous,8.766,9.434,-3.5,8.0
135,3,45,,blank,,ambiguous,10.346,11.402,-3.25,9.75
147,4,12,B,answered,A,answered,10.302,11.662,2.75,-9.75
148,4,13,A,answered,B,answered,11.287,12.53,3.0,-10.75
153,4,18,MULTIPLE,multiple,A,answered,9.792,10.198,2.75,-9.25
154,4,19,A,answered,MULTIPLE,multiple,8.008,9.434,2.5,-7.5
155,4,20,B,answered,A,answered,7.99,9.434,2.25,-7.5
156,4,21,A,answered,B,answered,7.612,8.062,1.75,-7.25
158,4,23,B,answered,A,answered,5.722,6.403,1.25,-5.25
159,4,24,A,answered,B,answered,5.778,6.403,1.0,-5.25
164,4,29,B,answered,A,answered,2.498,3.162,1.25,-1.25
165,4,30,A,answered,B,answered,2.821,4.123,1.75,-1.5
166,4,31,C,answered,A,answered,2.531,4.123,2.0,-0.25
167,4,32,A,answered,C,answered,2.974,5.831,2.25,1.25
168,4,33,B,answered,A,answered,2.37,5.831,2.0,0.75
169,4,34,A,answered,B,answered,4.13,7.81,2.0,3.5
170,4,35,B,answered,A,answered,3.636,7.071,1.75,3.0
172,4,37,A,answered,,ambiguous,8.097,11.18,3.0,7.5
177,4,42,B,answered,A,answered,11.316,13.601,2.5,11.0
178,4,43,A,answered,B,answered,14.172,16.155,4.25,13.5
180,4,45,,blank,A,answered,11.782,12.806,5.0,10.5
